Código,Produto,Categoria,Valor
890,PRODUTO TESTE RECEPÇÃO COMP IGUAL BAR,RECEPÇÃO,"R$0,00"
891,PRODUTO TESTE RESTAURANTE COMP IGUAL RECEPÇÃO,XJANTAR,"R$0,00"
255,PRODUTO VENDA TESTE(ALEX),xExecutivo,"R$0,00"
754,PROTUDO TESTE RECEPÇÃO,DIVERSOS,"R$0,00"
448,Palito-caixa(200),DESCARTAVEL,"R$1,50"
449,Palito-emb(100),DESCARTAVEL,"R$1,40"
497,Pano de limpeza,LIMPEZA,"R$0,22"
529,Pano de prato,Utensilios Cozinha,"R$2,00"
420,Pano multiuso,Utensilios Cozinha,"R$20,00"
398,Papel A4,Material de escritorio,"R$26,00"
507,Papel Higiênico - rolo,LIMPEZA,"R$1,00"
508,Papel Higiênico Big,LIMPEZA,"R$8,50"
691,Papel Manteiga Cortado,BAR PRODUTOS,"R$0,00"
509,Papel Toalha-pct,LIMPEZA,"R$4,00"
677,Papel manteiga 50X70,DESCARTAVEL,"R$0,40"
498,Pastilha sanitária,LIMPEZA,"R$8,00"
625,Peixe Anchova 5kg,FREEZER,"R$50,00"
88,Peixe posta,Alimentos,"R$35,00"
557,Peneira,Utensilios Cozinha,"R$10,00"
990,Perfume Refrigeração,MAQUINARIO,"R$8,00"
390,Polpa acerola,FREEZER,"R$0,80"
391,Polpa cajá,FREEZER,"R$1,10"
392,Polpa cajú,FREEZER,"R$0,60"
393,Polpa goiaba,FREEZER,"R$0,60"
394,Polpa graviola,FREEZER,"R$1,10"
395,Polpa manga,FREEZER,"R$0,60"
1047,Porta gelo,Utensilios Cozinha,"R$45,00"
530,Porta guardanapo,Utensilios Cozinha,"R$15,00"
432,Porta papel higienico,EQUIPAMENTO,"R$35,00"
434,Porta papel toalha,EQUIPAMENTO,"R$35,00"
433,Porta sabonete,EQUIPAMENTO,"R$35,00"
531,Pote Papa,Utensilios Cozinha,"R$5,00"
924,Pote Tempero,Utensilios Cozinha,"R$5,00"
923,Pote vidro,Utensilios Cozinha,"R$15,00"
615,Prato Funcionário,Utensilios Cozinha,"R$10,00"
450,Prato PF12,DESCARTAVEL,"R$2,00"
451,Prato PF15,DESCARTAVEL,"R$2,00"
611,Prato PR15,DESCARTAVEL,"R$2,00"
452,Prato PR21,DESCARTAVEL,"R$4,00"
499,Pretinho - 500ml,LIMPEZA,"R$3,00"
722,Produto Vodka,DOSE,"R$7,00"
724,Produto Whisky Black White,DOSE,"R$9,00"
1009,Produto Whisky Johnnie Red,DOSE,"R$12,00"
721,Produto Whisky Old Par,DOSE,"R$18,00"
679,Produto EMBALAGEM,BAR PRODUTOS,"R$3,00"
720,Produto Licor Menta,DOSE,"R$0,00"
719,Produto Pitchulinha,DOSE,"R$0,00"
723,Produto Pitú,DOSE,"R$5,00"
399,Pulseira,Material de escritorio,"R$106,39"
803,PÃO ASSADO,XCafé da Manhã,"R$0,00"
789,PÃO DE FORMA,XCafé da Manhã,"R$0,00"
820,PÃO DE FORMA INTEGRAL,XCafé da Manhã,"R$0,00"
790,PÃO TRADICIONAL,XCafé da Manhã,"R$0,00"
375,Pássaro,ANIMAIS,"R$1,25"
807,Pássaro ração 500gr,ANIMAIS,"R$4,55"
813,Pão Quente,XCafé da Manhã,"R$0,00"
364,Pão de caixa,GELADEIRA,"R$4,20"
365,Pão de caixa integral,GELADEIRA,"R$5,20"
366,Pão hotdog,GELADEIRA,"R$5,20"
761,Pão quente branco,XCafé da Manhã,"R$0,00"
389,Pé de porco,FREEZER,"R$10,00"
649,QBB - AÇAI COM LEITINHO,QBOMBOM,"R$5,00"
651,QBB - CASEIRO BEIJINHO,QBOMBOM,"R$6,00"
638,QBB - CASEIRO NATA GOIABA,QBOMBOM,"R$6,00"
655,QBB - COMUM AÇAI,QBOMBOM,"R$4,00"
632,QBB - COMUM AÇAI,QBOMBOM,"R$5,00"
642,QBB - COMUM CHOCOLATE,QBOMBOM,"R$4,00"
643,QBB - COMUM COCO,QBOMBOM,"R$4,00"
633,QBB - COMUM L/CONDENSADO,QBOMBOM,"R$4,00"
637,QBB - COMUM MORANGO,QBOMBOM,"R$4,00"
636,QBB - CREMOSO NAPOLITANO,QBOMBOM,"R$5,00"
639,QBB - FESTA BRIGADEIRO,QBOMBOM,"R$7,00"
646,QBB - LEITINHO TRUFADO,QBOMBOM,"R$5,00"
743,QBB - QBLETS,QBOMBOM,"R$10,50"
652,QBB - QCONE BRIGADEIRO,QBOMBOM,"R$10,50"
647,QBB - QCONE CROCANTE,QBOMBOM,"R$10,50"
645,QBB - QFRUTA CAJÁ,QBOMBOM,"R$3,50"
634,QBB - QFRUTA LIMÃO,QBOMBOM,"R$3,50"
1046,QBB - QFRUTA MORANGO,QBOMBOM,"R$3,50"
834,QBB - QFRUTA MORANGO,QBOMBOM,"R$3,50"
635,QBB - QFRUTA UVA,QBOMBOM,"R$3,50"
711,QBB - QMAXX BRIGADEIRÃO,QBOMBOM,"R$10,50"
640,QBB - QMAXX CHOCOLATE,QBOMBOM,"R$10,50"
644,QBB - QMAXX COOKIES,QBOMBOM,"R$10,50"
641,QBB - QMAXX MOUSSE DE MARACUJÁ,QBOMBOM,"R$10,50"
650,QBB - SPECIALE BOMBOM BRANCO,QBOMBOM,"R$7,00"
712,QBB - SPECIALE BOMBOM FERRERO,QBOMBOM,"R$7,00"
648,QBB - SPECIALE MALTINE,QBOMBOM,"R$7,00"
1034,QBB - SPECIALE PRESTÍGIO,QBOMBOM,"R$7,00"
962,QUADRINHO DE CHITA,DECORAÇÃO,"R$0,00"
955,QUADRO DOS SANTOS,DECORAÇÃO,"R$0,00"
971,QUADRO SELF,DECORAÇÃO,"R$0,00"
1001,QUEIJO/FUNDUE 150G,FONDUE PRODUTOS,"R$0,00"
849,QUEIJO/FUNDUE 300G,FONDUE PRODUTOS,"R$0,00"
1002,QUEIJO/FUNDUE 80G,FONDUE PRODUTOS,"R$0,00"
341,Queijo ralado- 100g,DISPENSA,"R$6,00"
1022,REFEIÇÃO TIME FUTEBOL,Hospedagem,"R$42,50"
91,REFRIGERANTE COCA-COLA,Bebidas não Alcoólicas,"R$8,00"
133,REFRIGERANTE COCA-COLA ZERO 350ML,Bebidas não Alcoólicas,"R$8,00"
92,REFRIGERANTE FANTA,Bebidas não Alcoólicas,"R$8,00"
93,REFRIGERANTE GUARANÁ,Bebidas não Alcoólicas,"R$8,00"
1065,REFRIGERANTE GUARANÁ ZERO,Bebidas não Alcoólicas,"R$8,00"
95,REFRIGERANTE SODA,Bebidas não Alcoólicas,"R$8,00"
785,REQUEIJÃO,XCafé da Manhã,"R$0,00"
964,ROLADOR,DECORAÇÃO,"R$0,00"
532,Ralo inox,Utensilios Cozinha,"R$10,00"
404,Raquete beach tenis,JOGOS,"R$15,00"
405,Raquete ping-pong,JOGOS,"R$15,00"
453,Ref. colher,DESCARTAVEL,"R$7,50"
454,Ref. faca,DESCARTAVEL,"R$7,50"
455,Ref. garfo,DESCARTAVEL,"R$7,50"
342,Refresco,DISPENSA,"R$0,90"
221,Refrigerante Coca-cola - APT,Hospedagem,"R$8,00"
686,Registro de agua,MANUTENÇÃO,"R$0,00"
367,Requeijão,GELADEIRA,"R$5,70"
435,Reservatório sabonete,EQUIPAMENTO,"R$10,00"
376,Roedor (400g),ANIMAIS,"R$1,56"
725,Rolinho de queijo,Alimentos,"R$13,00"
617,Rolo 5cm,GAVETEIRO,"R$5,00"
456,Rolo Filme,DESCARTAVEL,"R$140,00"
1035,Rolo Filme stretch com cabo,DESCARTAVEL,"R$5,00"
460,Rolo Saco (20x30),DESCARTAVEL,"R$22,00"
459,Rolo Saco (25x35),DESCARTAVEL,"R$32,00"
457,Rolo Saco (40x60),DESCARTAVEL,"R$40,00"
458,Rolo Saco M (30x40),DESCARTAVEL,"R$35,00"
1031,Rolo de alumínio,DESCARTAVEL,"R$14,95"
422,Rolo lã 15cm,GAVETEIRO,"R$6,00"
423,Rolo lã 9cm,GAVETEIRO,"R$4,00"
996,Roçadeira Energia,MAQUINARIO,"R$0,00"
995,Roçadeira Gasolina,MAQUINARIO,"R$0,00"
853,SALADA,FONDUE PRODUTOS,"R$0,00"
881,SALADA,XJANTAR,"R$10,00"
915,SANDUÍCHE,xExecutivo,"R$7,00"
909,SANDUÍCHE (COALHO E PRESUNTO),xExecutivo,"R$7,00"
912,SANDUÍCHE (COALHO),xExecutivo,"R$7,00"
907,SANDUÍCHE (MUSSARELA COALHO),xExecutivo,"R$7,00"
903,SANDUÍCHE (MUSSARELA E PRESUNTO),xExecutivo,"R$7,00"
914,SANDUÍCHE (MUSSARELA),xExecutivo,"R$7,00"
913,SANDUÍCHE (PRESUNTO),xExecutivo,"R$7,00"
595,SELA E PINTA (TAPACURÁ) LATÃO,PINTURA,"R$198,45"
594,SELA E PINTA (CAMURÇA) LATÃO,PINTURA,"R$198,45"
591,SELADOR LATÃO,PINTURA,"R$67,92"
972,SJ - ABANADOR CARINHA,DECORAÇÃO,"R$0,00"
975,SJ - ARUPEMBA GRANDE,DECORAÇÃO,"R$0,00"
954,SJ - BALÃO PAPEL,DECORAÇÃO,"R$0,00"
